order_item_id,order_id,product_id,quantity,unit_price_at_order,discount_pct
1,1,17,1,159.81,0.0
2,1,1793,1,705.59,0.0
3,2,1616,1,844.97,0.0
4,2,1657,1,271.95,10.0
5,3,1972,1,128.27,0.0
6,3,1422,3,320.48,0.0
7,4,260,1,56.94,20.0
8,5,1161,1,277.87,0.0
9,5,2108,3,489.22,0.0
10,5,596,1,60.08,10.0
11,6,1909,1,78.02,0.0
12,6,306,3,243.21,0.0
13,7,772,1,103.96,20.0
14,7,1567,3,98.85,0.0
15,7,1004,1,374.21,0.0
16,8,1915,1,73.26,15.0
17,8,1787,1,126.7,0.0
18,9,1769,1,91.78,0.0
19,9,1715,4,86.98,0.0
20,10,1358,2,359.55,10.0
21,10,571,1,318.52,0.0
22,10,987,1,344.42,0.0
23,10,330,5,160.48,0.0
24,11,1036,1,151.5,0.0
25,12,594,1,132.71,15.0
26,13,1536,1,162.63,0.0
27,13,601,1,398.41,0.0
28,14,777,1,200.39,0.0
29,14,21,5,273.84,15.0
30,14,1723,1,405.51,0.0
31,14,1482,2,31.1,0.0
32,15,1135,1,110.18,0.0
33,15,997,1,225.92,0.0
34,16,365,2,1246.18,0.0
35,17,1012,1,509.7,10.0
36,17,1966,1,248.61,10.0
37,18,497,1,178.21,15.0
38,19,1436,1,379.21,0.0
39,19,753,1,865.03,0.0
40,19,167,1,684.99,0.0
41,20,422,3,149.58,0.0
42,20,1736,1,158.79,15.0
43,20,1366,1,395.22,0.0
44,20,97,1,236.72,0.0
45,21,666,5,201.13,0.0
46,21,2483,1,80.47,0.0
47,22,1160,2,16.2,0.0
48,22,212,3,230.73,0.0
49,22,173,1,91.95,10.0
50,23,817,1,2378.39,10.0
51,23,1762,1,74.13,0.0
52,24,662,1,426.4,0.0
53,24,1349,1,158.71,15.0
54,25,138,1,81.31,0.0
55,25,690,1,360.23,30.0
56,25,1035,1,183.44,15.0
57,25,329,1,259.83,30.0
58,26,1492,5,366.39,0.0
59,27,386,1,425.14,0.0
60,27,2459,2,72.99,10.0
61,27,2215,1,109.26,0.0
62,27,1762,2,74.13,20.0
63,28,930,1,149.44,15.0
64,29,1457,2,198.6,20.0
65,29,1335,2,310.85,10.0
66,30,496,2,349.51,15.0
67,30,1331,1,0.0,0.0
68,30,1916,1,1047.15,10.0
69,30,264,1,79.96,0.0
70,31,758,2,512.44,20.0
71,32,1660,1,251.18,0.0
72,32,504,1,320.53,0.0
73,32,768,1,850.09,0.0
74,32,1557,1,218.5,0.0
75,33,1535,1,691.14,0.0
76,34,1295,1,248.78,0.0
77,35,1529,5,381.74,0.0
78,35,482,1,227.72,20.0
79,36,439,1,288.35,0.0
80,36,1860,1,271.25,0.0
81,37,864,2,480.78,0.0
82,38,403,4,352.84,50.0
83,38,613,2,694.06,0.0
84,38,1881,1,473.81,0.0
85,38,183,3,21.84,0.0
86,39,666,3,201.13,0.0
87,40,107,1,221.89,10.0
88,41,668,1,1203.65,20.0
89,41,56,1,333.2,0.0
90,42,264,1,79.96,0.0
91,42,2047,1,490.69,0.0
92,42,1376,1,396.31,0.0
93,43,1805,1,95.08,0.0
94,44,466,3,296.81,0.0
95,44,1560,1,109.74,30.0
96,44,1981,1,7095.62,50.0
97,45,1213,2,474.32,0.0
98,46,1897,5,153.92,30.0
99,47,1676,4,1448.44,0.0
100,47,567,1,358.29,0.0
101,48,534,2,336.91,0.0
102,49,1043,1,117.74,0.0
103,50,1440,1,267.1,15.0
104,50,114,1,387.5,0.0
105,51,577,1,146.12,0.0
106,52,932,1,26.89,20.0
107,52,73,1,589.14,15.0
108,53,1307,1,150.87,0.0
109,54,440,1,784.42,50.0
110,55,341,1,141.99,0.0
111,56,1454,1,4924.63,20.0
112,57,1178,2,333.75,0.0
113,58,517,1,371.19,0.0
114,58,1718,1,271.71,0.0
115,59,1665,2,186.56,0.0
116,60,646,1,529.82,20.0
117,60,139,1,265.19,0.0
118,60,615,5,383.38,0.0
119,61,1903,1,2014.57,0.0
120,61,114,4,387.5,15.0
121,62,1612,5,311.13,0.0
122,62,1219,1,1527.65,10.0
123,62,413,1,2255.72,0.0
124,63,774,3,0.0,0.0
125,63,576,2,251.53,0.0
126,64,1756,2,673.23,30.0
127,65,1538,1,487.91,0.0
128,66,1204,1,102.42,0.0
129,66,1152,1,0.0,0.0
130,66,1850,1,416.74,20.0
131,67,484,4,177.66,0.0
132,67,1558,3,46.64,10.0
133,67,1111,1,225.87,0.0
134,67,649,1,1992.49,10.0
135,68,812,2,195.17,0.0
136,68,332,1,38.09,0.0
137,68,768,4,850.09,10.0
138,69,767,1,83.94,10.0
